nodes,P01,P02,P03,P04,P05,P07,P08,P10,P11,P12,P13,P14,P15,P16,P17,P19,P20,H
2012-07-13,15.02,12.83,8.87,6.25,3.46,-0.06652641,0.027534962,15.57,13.28,8.1,6.24,3.91,0.616485,0.47208118,0.093774796,24.52,23.85,0.0
2012-07-14,15.02,12.83,8.87,6.25,3.46,-0.15299606,0.050220013,15.57,13.19,8.09,6.23,3.9,0.62509894,0.32842064,0.12558508,24.62,23.89,0.32
2012-07-15,15.02,12.83,8.86,6.24,3.45,-0.25055504,0.055205345,15.57,13.19,8.09,6.23,3.89,0.62288797,0.20226192,0.16876984,24.62,23.9,0.36
2012-07-16,15.03,12.83,8.86,6.24,3.44,-0.3154602,0.04882717,15.57,13.19,8.08,6.23,3.88,0.63158655,0.11967373,0.20980716,24.64,23.93,0.387
2012-07-17,15.03,12.83,8.86,6.24,3.44,-0.39687538,0.04848671,15.57,13.18,8.08,6.23,3.87,0.6398219,0.03607464,0.24829602,24.66,23.95,0.407
2012-07-18,15.04,12.83,8.86,6.24,3.43,-0.5139351,0.04248619,15.58,13.18,8.08,6.23,3.85,0.64834046,-0.086761475,0.27084446,24.66,23.94,0.406
2012-07-19,15.04,12.82,8.85,6.24,3.42,-0.7011719,0.029239178,15.59,13.17,8.07,6.23,3.84,0.65250266,-0.26124477,0.28193235,24.66,23.91,0.3885
2012-07-20,15.06,12.82,8.84,6.24,3.41,-0.9255562,0.020336151,15.6,13.17,8.07,6.23,3.83,0.658839,-0.4860363,0.29121017,24.66,23.93,0.371
2012-07-21,15.07,12.82,8.84,6.25,3.41,-1.1273289,-0.012716293,15.61,13.17,8.07,6.23,3.82,0.6674521,-0.6656771,0.28934836,24.73,23.98,0.792
2012-07-22,15.08,12.83,8.84,6.26,3.41,-1.2984123,-0.036483288,15.62,13.17,8.07,6.24,3.82,0.6745964,-0.79749966,0.31800508,25.01,24.12,3.922
2012-07-23,15.1,12.84,8.84,6.26,3.4,-1.5745745,-0.072656155,15.63,13.17,8.06,6.24,3.82,0.67778504,-1.0286522,0.33863354,25.16,24.21,2.541
2012-07-24,15.12,12.85,8.84,6.26,3.4,-1.8494949,-0.13224411,15.65,13.17,8.06,6.25,3.81,0.6763526,-1.2647657,0.36966848,25.18,24.23,2.102
2012-07-25,15.16,12.85,8.84,6.27,3.39,-1.9570932,-0.18711138,15.69,13.17,8.06,6.27,3.8,0.67686546,-1.3563147,0.43293715,25.34,24.33,3.98
2012-07-26,15.21,12.87,8.84,6.3,3.39,-2.0891743,-0.25812912,15.75,13.18,8.06,6.3,3.79,0.67986023,-1.4990273,0.48223543,25.79,24.58,5.589
2012-07-27,15.29,12.9,8.84,6.33,3.39,-2.3886805,-0.3638959,15.82,13.19,8.06,6.34,3.84,0.67528784,-1.7529945,0.4979794,26.35,24.89,7.564
2012-07-28,15.42,12.98,8.84,6.37,3.41,-1.8405085,-0.45856667,15.94,13.22,8.06,6.42,3.92,0.6645944,-1.3858938,0.5137918,27.12,25.34,10.185
2012-07-29,15.61,13.06,8.85,6.45,3.42,0.05,-0.5182123,16.12,13.28,8.06,6.55,3.95,0.6485733,0.62,0.4636562,27.98,25.83,12.347
2012-07-30,15.91,13.19,8.87,6.58,3.45,3.21,-0.5540371,16.42,13.36,8.08,6.75,3.95,0.65478325,3.75,0.4602313,28.66,26.2,14.016
