,H
2012-07-13,0.0
2012-07-14,0.31999999999993634
2012-07-15,0.35999999999989996
2012-07-16,0.3869999999999436
2012-07-17,0.4069999999999254
2012-07-18,0.40599999999994907
2012-07-19,0.38850000000002183
2012-07-20,0.3709999999998672
2012-07-21,0.7919999999999163
2012-07-22,3.9220000000000255
2012-07-23,2.54099999999994
2012-07-24,2.1019999999998618
2012-07-25,3.980000000000018
2012-07-26,5.588999999999942
2012-07-27,7.563999999999851
2012-07-28,10.184999999999945
2012-07-29,12.34699999999998
2012-07-30,14.015999999999849
2012-07-31,14.551999999999907
2012-08-01,14.55099999999993
2012-08-02,14.02949999999987
2012-08-03,13.50799999999981
2012-08-04,13.913000000000011
2012-08-05,14.499000000000024
2012-08-06,14.548999999999978
2012-08-07,14.843999999999824
2012-08-08,15.062999999999874
2012-08-09,15.17599999999993
2012-08-10,15.532999999999902
2012-08-11,15.913999999999987
2012-08-12,15.987999999999829
2012-08-13,15.881999999999834
2012-08-14,15.682000000000016
2012-08-15,15.555999999999813
2012-08-16,15.742999999999938
2012-08-17,15.923999999999978
2012-08-18,16.0179999999998
2012-08-19,16.072999999999865
2012-08-20,16.166999999999916
2012-08-21,16.228999999999814
2012-08-22,16.12299999999982
2012-08-23,15.965999999999894
2012-08-24,15.865999999999985
2012-08-25,15.690999999999804
2012-08-26,15.539999999999964
2012-08-27,15.483999999999924
2012-08-28,15.795999999999822
2012-08-29,16.730999999999995
2012-08-30,17.657333333333327
2012-08-31,18.58366666666666
2012-09-01,19.50999999999999
2012-09-02,20.149999999999864
2012-09-03,20.756999999999834
2012-09-04,21.326000000000022
2012-09-05,21.84999999999991
2012-09-06,22.348999999999933
2012-09-07,22.839999999999918
2012-09-08,23.263999999999896
2012-09-09,23.733999999999924
2012-09-10,24.315999999999804
2012-09-11,24.935999999999922
2012-09-12,24.876999999999953
2012-09-13,24.817999999999984
2012-09-14,24.759000000000015
2012-09-15,24.451000000000022
2012-09-16,24.23799999999983
2012-09-17,24.0179999999998
2012-09-18,23.583999999999833
2012-09-19,23.125
2012-09-20,22.67599999999993
2012-09-21,22.189999999999827
2012-09-22,21.732999999999947
2012-09-23,21.234249999999975
2012-09-24,20.735500000000002
2012-09-25,20.23675000000003
2012-09-26,19.73799999999983
2012-09-27,19.437999999999874
2012-09-28,19.10199999999986
2012-09-29,19.339999999999918
2012-09-30,19.72499999999991
2012-10-01,20.144999999999982
2012-10-02,20.569999999999936
2012-10-03,20.975999999999885
2012-10-04,21.3449999999998
2012-10-05,21.694999999999936
2012-10-06,22.031999999999925
2012-10-07,22.422000000000025
2012-10-08,22.817000000000007
2012-10-09,23.12799999999993
2012-10-10,22.888999999999896
2012-10-11,22.529999999999973
2012-10-12,22.702999999999975
2012-10-13,22.965999999999894
2012-10-14,23.228999999999814
2012-10-15,23.59199999999987
2012-10-16,23.930999999999813
2012-10-17,24.15599999999995
2012-10-18,24.386999999999944
2012-10-19,24.617999999999938
2012-10-20,24.94899999999984
2012-10-21,25.213999999999942
2012-10-22,25.307999999999993
2012-10-23,25.371999999999844
2012-10-24,25.371999999999844
2012-10-25,25.384000000000015
2012-10-26,25.424999999999955
2012-10-27,25.45399999999995
2012-10-28,25.47199999999998
2012-10-29,25.548000000000002
2012-10-30,25.53599999999983
2012-10-31,25.482999999999947
2012-11-01,25.442000000000007
2012-11-02,25.435999999999922
2012-11-03,25.47699999999986
2012-11-04,25.429999999999836
2012-11-05,25.406999999999925
2012-11-06,25.464999999999918
2012-11-07,25.423999999999978
2012-11-08,24.83499999999981
2012-11-09,24.396999999999935
2012-11-10,23.958999999999833
2012-11-11,23.394000000000005
2012-11-12,22.807999999999993
2012-11-13,22.208999999999833
2012-11-14,21.69699999999989
2012-11-15,21.347999999999956
2012-11-16,20.86999999999989
2012-11-17,20.45699999999988
2012-11-18,20.07399999999984
2012-11-19,19.63499999999999
2012-11-20,19.194999999999936
2012-11-21,18.832999999999856
2012-11-22,18.482999999999947
2012-11-23,17.94699999999989
2012-11-24,17.440999999999804
2012-11-25,17.03800000000001
2012-11-26,16.447999999999865
2012-11-27,15.91099999999983
2012-11-28,15.398999999999887
2012-11-29,14.839999999999918
2012-11-30,14.348999999999933
2012-12-01,13.856999999999971
2012-12-02,13.349999999999909
2012-12-03,12.810999999999922
2012-12-04,12.307000000000016
2012-12-05,11.74499999999989
2012-12-06,11.789999999999964
2012-12-07,12.090999999999894
2012-12-08,12.409999999999854
2012-12-09,12.804999999999836
2012-12-10,13.197999999999865
2012-12-11,13.534999999999854
2012-12-12,13.8449999999998
2012-12-13,14.16099999999983
2012-12-14,14.49499999999989
2012-12-15,14.84699999999998
2012-12-16,15.173999999999978
2012-12-17,15.5
2012-12-18,15.731999999999971
2012-12-19,15.687999999999874
2012-12-20,15.538000000000011
2012-12-21,15.375
2012-12-22,15.111999999999853
2012-12-23,15.017999999999802
2012-12-24,15.105999999999995
2012-12-25,15.356999999999971
2012-12-26,15.488999999999805
2012-12-27,15.726999999999862
2012-12-28,15.976999999999862
2012-12-29,16.225999999999885
2012-12-30,16.33199999999988
2012-12-31,16.394999999999982
2013-01-01,16.43899999999985
2013-01-02,16.656999999999925
2013-01-03,16.830999999999904
2013-01-04,16.954999999999927
2013-01-05,17.097999999999956
2013-01-06,17.246999999999844
2013-01-07,17.35199999999986
2013-01-08,17.482999999999947
2013-01-09,17.531999999999925
2013-01-10,17.625
2013-01-11,17.717999999999847
2013-01-12,17.27299999999991
2013-01-13,15.299499999999853
2013-01-14,13.325999999999794
2013-01-15,11.352499999999736
2013-01-16,9.378999999999678
2013-01-17,7.40549999999962
2013-01-18,5.431999999999562
2013-01-19,3.4584999999995034
2013-02-16,1.4849999999999
2013-02-17,
2013-02-18,
2013-02-19,
2013-02-20,
2013-02-21,
2013-02-22,
2013-02-23,
2013-02-24,
2013-02-25,
2013-02-26,
2013-02-27,
2013-02-28,
2013-03-01,
2013-03-02,
2013-03-03,
2013-03-04,
2013-03-05,
2013-03-06,
2013-03-07,
2013-03-08,
2013-03-09,
2013-03-10,
2013-03-11,
2013-03-12,
2013-03-13,
2013-03-14,
2013-03-15,
2013-03-16,
2013-03-17,
2013-03-18,
2013-03-19,
2013-03-20,
2013-03-21,
2013-03-22,
2013-03-23,
2013-03-24,
2013-03-25,
2013-03-26,
2013-04-02,
2013-04-03,
2013-04-04,
2013-04-05,
2013-04-06,
2013-04-07,
2013-04-08,
2013-04-09,
